,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,latitude,longitude,onmousedown,snippet,source,sponsored,state,stations,url
0,Los Angeles,Los Angeles County Department of Human Resources,US,"Wed, 22 Feb 2017 09:46:33 GMT",False,"Los Angeles, CA","Los Angeles, CA",6 days ago,False,587ebe1df62e7e62,"STATISTICAL ANALYST, SHERIFF",34.052197,-118.24176,"indeed_clk(this,'6952');","In <b>statistics</b> or research methods. Or higher in <b>Statistics</b>, Mathematics, Social/Behavioral Sciences, Economics or a related field from an accredited college or...",Los Angeles County Department of Human Resources,False,CA,,http://www.indeed.com/viewjob?jk=587ebe1df62e7e62&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
1,,Los Angeles County Human Resources,US,"Tue, 21 Feb 2017 20:15:39 GMT",False,"Los Angeles County, CA","Los Angeles County, CA",7 days ago,False,f5aed3156cf84a4e,"STATISTICAL ANALYST, SHERIFF",34.365383,-118.1978,"indeed_clk(this,'6952');","In <b>statistics</b> or research methods. Or higher in <b>Statistics</b>, Mathematics, Social/Behavioral Sciences, Economics or a related field from an accredited college or...",Los Angeles County Human Resources,False,CA,,http://www.indeed.com/viewjob?jk=f5aed3156cf84a4e&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
2,Mountain View,Google,US,"Thu, 23 Feb 2017 16:08:11 GMT",False,"Mountain View, CA","Mountain View, CA",5 days ago,False,b7d1d1ad0daab08a,Data Scientist,37.384617,-122.08242,"indeed_clk(this,'6952');","MBA or MA/MS/PhD degree in <b>Statistics</b>. The Business Strategy &amp; Operations organization provides business critical insights using analytics, ensures cross...",Google,False,CA,,http://www.indeed.com/viewjob?jk=b7d1d1ad0daab08a&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
3,Mountain View,Google,US,"Thu, 09 Feb 2017 15:17:33 GMT",False,"Mountain View, CA","Mountain View, CA",19 days ago,False,ae646c3cc0382fa4,"Data Scientist/Quantitative Analyst, Engineering, University Graduate",37.384617,-122.08242,"indeed_clk(this,'6952');","<b>Statistics</b>, bioinformatics, computational biology, computer science, applied mathematics, or similar) or equivalent practical experience....",Google,False,CA,,http://www.indeed.com/viewjob?jk=ae646c3cc0382fa4&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
4,Irvine,Appriss,US,"Mon, 13 Feb 2017 19:18:03 GMT",False,"Irvine, CA","Irvine, CA",15 days ago,False,ff8fccd64ef8144b,SAS Analyst / Statistician,33.667583,-117.81868,"indeed_clk(this,'6952');","Degree with coursework in <b>statistics</b>. This position is located in our office in Irvine, California....",Appriss,False,CA,,http://www.indeed.com/viewjob?jk=ff8fccd64ef8144b&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
5,Santa Monica,Hulu,US,"Fri, 17 Feb 2017 02:15:20 GMT",False,"Santa Monica, CA","Santa Monica, CA",12 days ago,False,1c77e7a233f5491e,Product Data Analyst,34.01923,-118.48901,"indeed_clk(this,'6952');",Proficiency and solid foundation in <b>statistics</b>. Hulu is a premium streaming TV destination that seeks to captivate and connect viewers with the stories they...,Hulu,False,CA,,http://www.indeed.com/viewjob?jk=1c77e7a233f5491e&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
6,Menlo Park,Facebook,US,"Fri, 06 Jan 2017 07:17:20 GMT",False,"Menlo Park, CA","Menlo Park, CA",30+ days ago,False,a7ee83dd621b906a,"Data Scientist, Analytics",37.453297,-122.18132,"indeed_clk(this,'6952');","BA/BS in Computer Science, Math, Physics, Engineering, <b>Statistics</b> or other technical field. Apply your expertise in quantitative analysis, data mining, and the...",Facebook,False,CA,,http://www.indeed.com/viewjob?jk=a7ee83dd621b906a&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
7,Santa Monica,HIRECLOUT,US,"Fri, 10 Feb 2017 05:42:06 GMT",False,"Santa Monica, CA","Santa Monica, CA",19 days ago,False,9c595582a34986da,Product Data Analyst,34.01923,-118.48901,"indeed_clk(this,'6952');","BA or BS degree in <b>Statistics</b>, Computer Science, Mathematics or Engineering. Strong SQL, Excel and quantitative skills....",HireClout,False,CA,,http://www.indeed.com/viewjob?jk=9c595582a34986da&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
8,Huntington Beach,California Health & Wellness,US,"Fri, 17 Feb 2017 17:13:57 GMT",False,"Huntington Beach, CA","Huntington Beach, CA",11 days ago,False,4f05ba4254233f8c,Health Care Analyst (Huntington Beach),33.65934,-117.99451,"indeed_clk(this,'6952');","Bachelor’s Degree in <b>Statistics</b>, Mathematics, Economics, Business, Accounting or related analytical discipline preferred....",Centene Corporation,False,CA,,http://www.indeed.com/viewjob?jk=4f05ba4254233f8c&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
9,South San Francisco,Google,US,"Fri, 10 Feb 2017 15:23:22 GMT",False,"South San Francisco, CA","South San Francisco, CA",18 days ago,False,816b1683cfca32bc,"Quantitative Analyst/Data Scientist/Statistician, Verily Life Sciences",37.653847,-122.40659,"indeed_clk(this,'6952');","<b>Statistics</b>, bioinformatics, computational biology, computer science, applied mathematics, or similar) or equivalent practical experience....",Google,False,CA,,http://www.indeed.com/viewjob?jk=816b1683cfca32bc&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
10,Sunnyvale,BetterHelp,US,"Fri, 17 Feb 2017 07:42:34 GMT",False,"Sunnyvale, CA","Sunnyvale, CA",11 days ago,True,51736126e77bc81d,Data Analyst,37.368134,-122.03297,"indeed_clk(this,'6952');","BSc/MA in a quantitative discipline such as <b>Statistics</b>, Math, Economics, or Engineering. Knowledge of <b>statistics</b>. Experience in quantitative data analysis....",BetterHelp,False,CA,,http://www.indeed.com/viewjob?jk=51736126e77bc81d&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
11,Pasadena,Kaiser Permanente,US,"Mon, 30 Jan 2017 07:22:47 GMT",False,"Pasadena, CA","Pasadena, CA",29 days ago,False,45d468d12c8aad21,Analytical Programmer I / II (SAS or R),34.145603,-118.14286,"indeed_clk(this,'6952');","Bachelor's degree in computer science, biostatistics, <b>statistics</b>, mathematics, information systems, epidemiology or related field of study....",Kaiser Permanente,False,CA,,http://www.indeed.com/viewjob?jk=45d468d12c8aad21&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
12,Irvine,Ingram Micro,US,"Tue, 07 Feb 2017 06:39:24 GMT",False,"Irvine, CA","Irvine, CA",21 days ago,False,b0e8586d740c2f1e,Predictive Analyst I,33.667583,-117.81868,"indeed_clk(this,'6952');","<b>Statistics</b>, Applied Mathematics, Operations Research, Computer Science, or Econometrics. Knowledge and experience of tools for data mining, <b>statistics</b>, analysis...",Ingram Micro,False,CA,,http://www.indeed.com/viewjob?jk=b0e8586d740c2f1e&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
13,Irvine,Appriss,US,"Mon, 13 Feb 2017 19:17:59 GMT",False,"Irvine, CA","Irvine, CA",15 days ago,False,f78e9b76c9d7ff34,Data Scientist/Statistician,33.667583,-117.81868,"indeed_clk(this,'6952');",Advanced degree in Analytical related field such as <b>Statistics</b> or Computer Science. Key job elements:....,Appriss,False,CA,,http://www.indeed.com/viewjob?jk=f78e9b76c9d7ff34&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
14,San Francisco,Clarify Health,US,"Sat, 18 Feb 2017 13:58:17 GMT",False,"San Francisco, CA","San Francisco, CA 94105",10 days ago,False,010eff1ef586adc5,Statistician/Data Scientist,37.785713,-122.39011,"indeed_clk(this,'6952');","Or Master’s degree in a statistically-intensive field of research with applications in healthcare, such as bioinformatics, biostatistics, epidemiology,...",Clarify Health,False,CA,,http://www.indeed.com/viewjob?jk=010eff1ef586adc5&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
15,Los Angeles,The Wonderful Company LLC,US,"Wed, 08 Feb 2017 00:41:32 GMT",False,"Los Angeles, CA","Los Angeles, CA 90064",21 days ago,False,90f1098dcb813899,Statistical Analyst,34.035713,-118.41758,"indeed_clk(this,'6952');",Masters in <b>Statistics</b> or Applied Mathematics required. As part of the Marketing team you will be a key player in the Analytics and Data Science team....,The Wonderful Company LLC,False,CA,,http://www.indeed.com/viewjob?jk=90f1098dcb813899&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
16,Palo Alto,Ford Motor Company,US,"Sat, 25 Feb 2017 14:13:48 GMT",False,"Palo Alto, CA","Palo Alto, CA",3 days ago,False,0f7bde177958388b,Automated Driving Research Scientist – Machine Vision & Learning,37.43956,-122.14286,"indeed_clk(this,'6952');","In Engineering, Computer Science, Natural Sciences, Robotics, or <b>Statistics</b>. Ford Motor Company is moving into a new phase of its 100+ year history, one in...",Ford Motor Company,False,CA,,http://www.indeed.com/viewjob?jk=0f7bde177958388b&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
17,South San Francisco,Denali,US,"Fri, 24 Feb 2017 00:00:21 GMT",False,"South San Francisco, CA","South San Francisco, CA",5 days ago,True,8cb98e76ed77d72c,Statistical Programmer,37.653847,-122.40659,"indeed_clk(this,'6952');",Working knowledge of rudimentary <b>statistics</b> and analytics. Denali Therapeutics is dedicated to developing breakthrough therapies for neurodegenerative diseases...,Denali,False,CA,,http://www.indeed.com/viewjob?jk=8cb98e76ed77d72c&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
18,Stanford,Stanford University,US,"Thu, 23 Feb 2017 21:17:00 GMT",False,"Stanford, CA","Stanford, CA 94305",5 days ago,False,2e01f674db9f5cb0,Research Assistant,37.428974,-122.17601,"indeed_clk(this,'6952');",<b>Statistics</b> ability desirable. **This is a 12-Month Fixed-Term Position***....,Stanford University,False,CA,,http://www.indeed.com/viewjob?jk=2e01f674db9f5cb0&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
19,San Diego,UC San Diego,US,"Fri, 17 Feb 2017 05:13:39 GMT",False,"San Diego, CA","San Diego, CA",12 days ago,False,91b8707407bb5973,Statistician/Data Scientist,32.714287,-117.15385,"indeed_clk(this,'6952');",Master's degree in <b>statistics</b> or biostatistics. Graduation from college with a major in <b>statistics</b> or a related field and two (2) years of professional...,UC San Diego,False,CA,,http://www.indeed.com/viewjob?jk=91b8707407bb5973&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
20,Santa Clara,"Hitachi America, Ltd.",US,"Sat, 28 Jan 2017 01:05:55 GMT",False,"Santa Clara, CA","Santa Clara, CA 95054",30+ days ago,False,75154b5c923baf3e,"Intern, Big Data Lab",37.38167,-121.98029,"indeed_clk(this,'6952');","Student in Computer Science, <b>Statistics</b>, Applied Mathematics, or Operation Research. Hitachi America, Ltd....",Hitachi,False,CA,,http://www.indeed.com/viewjob?jk=75154b5c923baf3e&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
21,Palo Alto,Gwynnie Bee,US,"Wed, 01 Feb 2017 00:01:18 GMT",False,"Palo Alto, CA","Palo Alto, CA",28 days ago,True,a9ae401331b4327d,Data Scientist/ Statistician,37.43956,-122.14286,"indeed_clk(this,'6952');","Advanced degree in <b>Statistics</b> or other related quantitative discipline such as Econometrics, Operations Research, Computer Science, or Mathematics....",Gwynnie Bee,False,CA,,http://www.indeed.com/viewjob?jk=a9ae401331b4327d&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
22,Irvine,Razer Inc.,US,"Wed, 01 Mar 2017 05:03:02 GMT",False,"Irvine, CA","Irvine, CA",1 hour ago,False,9c44ae29889b4bf7,Data Analyst,33.667583,-117.81868,"indeed_clk(this,'6952');","Bachelor's degree in Economics, Mathematics, <b>Statistics</b> or any related field. Perform analysis for process improvements, projects and strategic initiatives....",Razer Inc.,False,CA,,http://www.indeed.com/viewjob?jk=9c44ae29889b4bf7&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
23,San Diego,ID Analytics,US,"Thu, 23 Feb 2017 02:12:40 GMT",False,"San Diego, CA","San Diego, CA 92128",6 days ago,False,ddf2bb72e2582290,Associate Data Scientist,32.993046,-117.08057,"indeed_clk(this,'6952');","Strong mathematical and <b>statistics</b> skills. Master’s degree in a relevant technical discipline (Math, Engineering, Computer Science, <b>Statistics</b> or similar field)...",ID Analytics,False,CA,,http://www.indeed.com/viewjob?jk=ddf2bb72e2582290&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
24,San Diego,Intuit,US,"Mon, 30 Jan 2017 11:11:47 GMT",False,"San Diego, CA","San Diego, CA 92129",29 days ago,False,23f4732c2a204240,Associate Data Scientist,32.958755,-117.158226,"indeed_clk(this,'6952');","MS in Engineering Mathematics, <b>Statistics</b>, Theoretical/Computational Physics, or related field. Intuit TurboTax Data Science Lab is hiring a senior level...",Intuit,False,CA,,http://www.indeed.com/viewjob?jk=23f4732c2a204240&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qimrafbgca2
25,San Jose,Samsung SDSA,US,"Wed, 01 Mar 2017 04:31:56 GMT",False,"San Jose, CA","San Jose, CA 95134",1 hour ago,False,4086887d5835f5be,Data Scientist,37.412086,-121.94505,"indeed_clk(this,'7475');","Understanding of descriptive and inferential <b>statistics</b> concepts; Degree in Computer Science, Engineering, Mathematics, <b>Statistics</b> or related field is desirable...",Samsung SDSA,False,CA,,http://www.indeed.com/viewjob?jk=4086887d5835f5be&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qj76a4l09mp
26,Palo Alto,Visa,US,"Fri, 24 Feb 2017 04:08:33 GMT",False,"Palo Alto, CA","Palo Alto, CA",5 days ago,False,94c1d7db6e730dcf,Data Analyst,37.43956,-122.14286,"indeed_clk(this,'7475');","BS or MS in <b>Statistics</b>, Mathematics, Computer Science, Economics, Engineering, or other related field....",Visa,False,CA,,http://www.indeed.com/viewjob?jk=94c1d7db6e730dcf&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qj76a4l09mp
27,Palo Alto,Nauto,US,"Sat, 25 Feb 2017 06:35:10 GMT",False,"Palo Alto, CA","Palo Alto, CA",3 days ago,False,41d246551cc4e0de,Data Scientist,37.43956,-122.14286,"indeed_clk(this,'7475');","Robust proficiency in probability, <b>statistics</b>, and machine learning. Graduate degree in a quantitative field (mathematics, physics, economics, etc) or...",Nauto,False,CA,,http://www.indeed.com/viewjob?jk=41d246551cc4e0de&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qj76a4l09mp
28,San Francisco,First Republic Bank,US,"Tue, 28 Feb 2017 20:03:05 GMT",False,"San Francisco, CA","San Francisco, CA",10 hours ago,False,7b9469dbfe932ec2,ERM Quantitative Reporting Analyst,37.774727,-122.41758,"indeed_clk(this,'7475');","The ideal candidate has a broad skillset in areas such as <b>statistics</b>, math, computing, and quantitative modeling....",First Republic Bank,False,CA,,http://www.indeed.com/viewjob?jk=7b9469dbfe932ec2&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qj76a4l09mp
29,Palo Alto,HealthTap,US,"Tue, 20 Dec 2016 06:49:44 GMT",False,"Palo Alto, CA","Palo Alto, CA",30+ days ago,True,4349048a1b3f6933,Data Scientist,37.43956,-122.14286,"indeed_clk(this,'7475');","BS / MS / PhD in a quantitative discipline (applied mathematics, <b>statistics</b>, CS, OR, or related field). 5+ years of experience using quantitative approaches to...",HealthTap,False,CA,,http://www.indeed.com/viewjob?jk=4349048a1b3f6933&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qj76a4l09mp
30,Playa del Rey,Impact Health,US,"Wed, 02 Nov 2016 23:16:03 GMT",False,"Playa del Rey, CA","Playa del Rey, CA 90293",30+ days ago,False,89d8e9781128bbe6,Data Scientist,33.98901,-118.45605,"indeed_clk(this,'7475');","PhD or Master’s Degree in applied <b>statistics</b>, data mining, machine learning, or a related quantitative discipline....",Impact Health,False,CA,,http://www.indeed.com/viewjob?jk=89d8e9781128bbe6&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qj76a4l09mp
31,Los Angeles,Taboola,US,"Sat, 25 Feb 2017 00:03:52 GMT",False,"Los Angeles, CA","Los Angeles, CA",4 days ago,True,c792b61e3cf012f4,Data Scientist,34.052197,-118.24176,"indeed_clk(this,'7475');","5+ years of experience in <b>statistics</b>, data mining and predictive modeling required. Implement the applicable Machine Learning or <b>statistics</b> based algorithm for...",Taboola,False,CA,,http://www.indeed.com/viewjob?jk=c792b61e3cf012f4&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qj76a4l09mp
32,Mountain View,Intuit,US,"Tue, 08 Nov 2016 05:20:52 GMT",False,"Mountain View, CA","Mountain View, CA 94039",30+ days ago,False,680f618ae0b0499c,Data Scientist,37.392857,-122.07143,"indeed_clk(this,'7475');","PhD or MS degree in <b>Statistics</b>, Mathematics, Operations Research, CS, Econometrics or related field. The ideal candidate will have a strong background in...",Intuit,False,CA,,http://www.indeed.com/viewjob?jk=680f618ae0b0499c&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qj76a4l09mp
33,San Jose,"Super Micro Computer, Inc.",US,"Wed, 01 Mar 2017 05:30:21 GMT",False,"San Jose, CA","San Jose, CA 95131",39 minutes ago,False,cd76b73df76bdad6,Data Analyst,37.389038,-121.904816,"indeed_clk(this,'7475');",This position uses advanced software engineering/programming skills to build/maintain software applications interacting with users for data input/output and...,"Super Micro Computer, Inc.",False,CA,,http://www.indeed.com/viewjob?jk=cd76b73df76bdad6&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qj76a4l09mp
34,Palo Alto,Sutter Health,US,"Fri, 24 Feb 2017 22:50:46 GMT",False,"Palo Alto, CA","Palo Alto, CA",4 days ago,False,2a8bcf0fbf76c5ef,Quantitative Analyst- Research Institute- Palo Alto,37.43956,-122.14286,"indeed_clk(this,'7475');",MA/MS/ScM with completion of coursework in advanced <b>statistics</b> required. The Quantitative Research Analyst is....,Sutter Health,False,CA,,http://www.indeed.com/viewjob?jk=2a8bcf0fbf76c5ef&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qj76a4l09mp
35,Mountain View,Study.com,US,"Wed, 14 Dec 2016 09:45:20 GMT",False,"Mountain View, CA","Mountain View, CA 94041",30+ days ago,False,e1a7d343e5fe7710,Data Analyst,37.39401,-122.07704,"indeed_clk(this,'7475');","BS in Mathematics, <b>Statistics</b>, Computer Science, Operations Research, or similar fields. We are a technology company on a mission to make education accessible....",Study.com,False,CA,,http://www.indeed.com/viewjob?jk=e1a7d343e5fe7710&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qj76a4l09mp
36,Stanford,Stanford University,US,"Sat, 25 Feb 2017 03:21:50 GMT",False,"Stanford, CA","Stanford, CA 94305",4 days ago,False,2033ed5cb57a9dde,Research Data Analyst 2,37.428974,-122.17601,"indeed_clk(this,'7475');","Experience in a quantitative discipline such as economics, finance, <b>statistics</b> or engineering. Master’s degree in <b>statistic</b> or health field (e.g., <b>Statistics</b>,...",Stanford University,False,CA,,http://www.indeed.com/viewjob?jk=2033ed5cb57a9dde&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qj76a4l09mp
37,Stanford,Stanford University,US,"Wed, 22 Feb 2017 21:13:37 GMT",False,"Stanford, CA","Stanford, CA 94305",6 days ago,False,c6f03a0a4fc14aff,Research Data Analyst 1 (50% FTE; 20 hours per week),37.428974,-122.17601,"indeed_clk(this,'7475');","Experience in a quantitative discipline such as economics, finance, <b>statistics</b> or engineering. The Department of Neurology and Neurological Sciences at Stanford...",Stanford University,False,CA,,http://www.indeed.com/viewjob?jk=c6f03a0a4fc14aff&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_uyT1y2stvlnhBkbCVu62Mw&indpubnum=254802918413674&atk=1ba47qj76a4l09mp
